City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
117,puertollano,38.6871,-4.1073,10.09,39,98,1.36,ES,1680577963
118,mountain home,43.133,-115.6912,1.9,71,40,8.23,US,1680577963
119,ambatofinandrahana,-20.55,46.8,14.84,97,17,1.12,MG,1680577963
120,tuy hoa,13.0833,109.3,31.08,61,13,2.77,VN,1680577964
121,airai,-8.9266,125.4092,22.66,58,89,1.0,TL,1680577964
122,dikson,73.5069,80.5464,-20.55,97,100,5.51,RU,1680577964
123,tura,25.5198,90.2201,24.54,60,6,2.94,IN,1680577964
124,marawi,7.9986,124.2928,26.34,53,84,2.55,PH,1680577964
125,saint george,37.1041,-113.5841,4.68,68,100,3.6,US,1680577964
126,buala,-8.145,159.5921,28.48,75,100,2.73,SB,1680577964
127,malpe,13.35,74.7167,26.61,64,23,0.82,IN,1680577964
128,plouzane,48.3833,-4.6167,5.03,93,7,2.57,FR,1680577964
129,flin flon,54.7682,-101.865,-15.87,97,96,1.92,CA,1680577964
130,new norfolk,-42.7826,147.0587,21.62,39,36,2.65,AU,1680577964
131,hofn,64.2539,-15.2082,7.64,93,100,8.37,IS,1680577964
132,manicore,-5.8092,-61.3003,22.26,96,71,0.78,BR,1680577964
133,olafsvik,64.8945,-23.7142,6.23,97,100,9.22,IS,1680577964
134,aguimes,27.9054,-15.4461,17.35,68,75,11.32,ES,1680577965
135,show low,34.2542,-110.0298,10.16,29,0,12.35,US,1680577862
136,ndola,-12.9587,28.6366,16.94,97,100,2.0,ZM,1680577965
137,deputatskiy,69.3,139.9,-11.1,90,79,1.74,RU,1680577965
138,caravelas,-17.7125,-39.2481,24.84,74,100,3.62,BR,1680577965
139,puerto ayora,-0.7393,-90.3518,26.97,92,21,0.45,EC,1680577965
140,mount isa,-20.7333,139.5,31.87,18,61,5.14,AU,1680577965
141,cuiluan,47.72,128.648,4.83,20,8,6.64,CN,1680577965
142,vavuniya,8.7514,80.4971,27.42,74,4,1.61,LK,1680577965
143,palmer,42.1584,-72.3287,8.65,69,40,3.6,US,1680577965
144,okhotsk,59.3833,143.3,-6.22,89,100,10.2,RU,1680577966
145,haines junction,60.7522,-137.5108,-5.07,86,41,1.72,CA,1680577966
146,havelock,34.8791,-76.9013,19.41,88,100,3.09,US,1680577966
147,codrington,-38.2667,141.9667,18.95,58,100,3.42,AU,1680577966
148,chokurdakh,70.6333,147.9167,-11.73,90,22,2.96,RU,1680577966
149,cabo san lucas,22.8909,-109.9124,26.61,68,75,5.14,MX,1680577919
150,butaritari,3.0707,172.7902,27.73,81,79,8.02,KI,1680577966
151,saldanha,-33.0117,17.9442,15.78,93,100,3.24,ZA,1680577919
152,los llanos de aridane,28.6585,-17.9182,17.86,89,100,7.2,ES,1680577966
153,hasaki,35.7333,140.8333,16.22,51,0,4.88,JP,1680577966
154,ixtapa,20.7,-105.2,23.46,83,0,0.0,MX,1680577966
155,namie,37.4833,141.0,20.95,52,0,2.8,JP,1680577966
156,ziyang,29.2497,117.8547,17.81,99,100,1.35,CN,1680577966
157,nemuro,43.3236,145.575,4.66,69,95,7.24,JP,1680577967
158,tuatapere,-46.1333,167.6833,17.57,56,68,1.53,NZ,1680577967
159,nelson bay,-32.7167,152.15,23.03,85,100,1.34,AU,1680577967
160,ribeira grande,38.5167,-28.7,12.1,82,100,2.24,PT,1680577967
161,rorvik,64.8621,11.2373,2.06,100,100,2.57,NO,1680577967
162,bilma,18.6853,12.9164,23.94,8,91,3.0,NE,1680577967
163,riyadh,24.6877,46.7219,13.08,22,76,0.77,SA,1680577967
164,rusape,-18.5278,32.1284,13.21,94,22,0.94,ZW,1680577967
165,cidreira,-30.1811,-50.2056,21.94,81,16,6.13,BR,1680577967
166,monte patria,-30.6919,-70.9467,21.62,49,100,0.65,CL,1680577967
167,nome,64.5011,-165.4064,-8.96,73,100,4.12,US,1680577968
168,zyryanka,65.75,150.85,-8.9,73,21,6.8,RU,1680577968
169,sweetwater,25.7634,-80.3731,26.01,82,20,3.09,US,1680577968
170,mecca,21.4267,39.8261,22.33,42,71,1.04,SA,1680577786
171,chuy,-33.6971,-53.4616,16.33,89,100,1.03,UY,1680577968
172,port blair,11.6667,92.75,28.57,63,100,1.96,IN,1680577968
173,cockburn town,21.4612,-71.1419,25.2,73,0,9.18,TC,1680577968
174,mahanoro,-19.9,48.8,23.81,91,98,1.29,MG,1680577968
175,taltal,-25.4,-70.4833,21.02,85,45,1.4,CL,1680577968
176,juneau,58.3019,-134.4197,4.56,74,75,2.57,US,1680577968
177,klaksvik,62.2266,-6.589,7.51,95,100,11.44,FO,1680577968
178,evensk,61.95,159.2333,-11.34,65,2,1.39,RU,1680577968
179,petrovskoye,57.0104,39.2693,5.12,94,100,2.3,RU,1680577969
180,izumo,35.3667,132.7667,19.34,36,94,0.63,JP,1680577969
181,annau,37.8876,58.516,9.48,71,56,0.66,TM,1680577969
182,faanui,-16.4833,-151.75,28.23,72,99,3.65,PF,1680577969
183,victoria,22.2855,114.1577,28.02,90,53,0.89,HK,1680577817
184,ozernovskiy,51.5,156.5167,-0.75,79,6,3.9,RU,1680577969
185,coquimbo,-29.9533,-71.3436,14.85,100,0,1.54,CL,1680577969
186,isangel,-19.55,169.2667,29.77,66,66,2.18,VU,1680577969
187,katsuura,35.1333,140.3,15.32,49,0,4.91,JP,1680577969
188,at-bashi,41.1702,75.8106,1.65,38,90,1.88,KG,1680577969
189,margate,51.3813,1.3862,6.06,66,12,1.79,GB,1680577969
190,caetite,-14.0694,-42.475,18.06,93,89,3.42,BR,1680577969
191,kieta,-6.2167,155.6333,29.44,71,57,2.54,PG,1680577970
192,bintulu,3.1667,113.0333,28.5,69,81,1.39,MY,1680577970
193,fenoarivo,-18.933,47.4354,19.04,100,75,1.54,MG,1680577970
194,sawakin,19.1059,37.3321,21.65,56,49,2.42,SD,1680577970
195,novoorsk,51.381,58.9813,0.36,71,65,3.72,RU,1680577970
196,harper,4.375,-7.7169,25.26,88,100,1.14,LR,1680577970
197,leshukonskoye,64.8989,45.7622,-11.69,91,90,2.26,RU,1680577970
198,kavaratti,10.5669,72.642,27.42,71,100,3.91,IN,1680577970
199,tak bai,6.2595,102.0546,31.15,65,54,1.21,TH,1680577970
200,alyangula,-13.8483,136.4192,31.71,51,25,4.65,AU,1680577970
201,avera,33.194,-82.5271,15.73,89,98,2.0,US,1680577914
202,sterling,39.0062,-77.4286,18.0,57,20,6.17,US,1680577753
203,kumphawapi,17.1087,103.0149,36.01,97,4,4.1,TH,1680577971
204,tadine,-21.55,167.8833,27.79,73,97,3.01,NC,1680577971
205,grand-santi,4.25,-54.3833,21.23,94,64,1.14,GF,1680577971
206,mehamn,71.0357,27.8492,0.97,100,100,10.29,NO,1680577971
207,rock sound,24.9,-76.2,24.86,73,12,5.01,BS,1680577737
208,touros,-5.1989,-35.4608,25.24,82,43,3.21,BR,1680577971
209,priargunsk,50.3691,119.1012,-0.63,23,1,7.53,RU,1680577971
210,tasiilaq,65.6145,-37.6368,-3.91,93,100,3.02,GL,1680577971
211,biak,-0.9131,122.8766,27.78,73,100,0.76,ID,1680577971
212,svetlogorsk,52.6333,29.7333,-1.33,96,100,3.5,BY,1680577971
213,yumen,40.2833,97.2,0.04,28,100,8.97,CN,1680577972
214,leningradskiy,69.3833,178.4167,-21.29,90,10,1.98,RU,1680577972
215,pemangkat,1.1667,108.9667,28.26,71,80,2.69,ID,1680577972
216,hamilton,39.1834,-84.5333,17.97,59,0,5.66,US,1680577772
217,markova,48.6758,24.4138,-2.05,96,100,1.87,UA,1680577972
218,lata,40.1629,-8.3327,11.71,95,100,2.01,PT,1680577972
219,argelia,2.2556,-77.2488,18.72,97,100,0.83,CO,1680577972
220,tamandare,-8.7597,-35.1047,25.28,82,57,1.8,BR,1680577972
221,kaitangata,-46.2817,169.8464,17.18,56,51,2.62,NZ,1680577972
222,narsaq,60.9167,-46.05,6.12,75,93,2.73,GL,1680577972
223,san andres,12.5847,-81.7006,26.34,79,40,9.15,CO,1680577972
224,tshane,-24.0196,21.8684,18.17,35,0,3.98,BW,1680577972
225,beringovskiy,63.05,179.3167,-12.78,88,100,5.37,RU,1680577972
226,mahebourg,-20.4081,57.7,24.03,100,20,1.54,MU,1680577973
227,pangnirtung,66.1451,-65.7125,-19.03,65,20,3.33,CA,1680577973
228,gevrai,19.2667,75.75,27.65,32,10,2.22,IN,1680577973
229,luanda,-8.8368,13.2343,25.7,79,100,2.24,AO,1680577818
230,malnate,45.7908,8.8819,7.04,62,84,2.68,IT,1680577973
231,lompoc,34.6391,-120.4579,9.77,70,0,14.4,US,1680577973
232,bloemfontein,-29.1211,26.214,10.4,74,6,4.35,ZA,1680577973
233,richards bay,-28.783,32.0377,22.48,72,100,6.68,ZA,1680577791
234,namibe,-15.1961,12.1522,23.73,79,40,2.24,AO,1680577775
235,eruwa,7.5333,3.4167,25.09,85,95,2.03,NG,1680577973
236,nioro,13.35,-15.75,23.43,64,3,3.18,GM,1680577973
237,pangai,-19.8,-174.35,26.57,76,4,5.35,TO,1680577973
238,nabire,-3.3667,135.4833,29.9,64,100,1.96,ID,1680577973
239,longyan,25.1072,117.0225,18.94,94,100,1.99,CN,1680577973
240,alingsas,57.9303,12.5335,-0.27,79,99,1.04,SE,1680577974
241,saint anthony,45.0205,-93.218,3.41,73,75,3.6,US,1680577775
242,mahon,39.8885,4.2658,10.31,81,40,3.6,ES,1680577934
243,aklavik,68.2191,-135.0107,-9.43,93,95,4.43,CA,1680577974
244,ballina,-28.8667,153.5667,23.21,76,77,6.42,AU,1680577686
245,nyurba,63.2842,118.3319,-2.3,92,100,4.4,RU,1680577974
246,talnakh,69.4865,88.3972,-24.33,96,100,4.44,RU,1680577974
247,manaus,-3.1019,-60.025,25.28,88,0,1.54,BR,1680577974
248,makakilo city,21.3469,-158.0858,27.18,62,20,6.69,US,1680577974
